,r,ttt
0,1.36,18.75
1,1.284,17.75
2,1.222,18.65625
3,1.196,16.21875
4,1.161,14.75
5,1.13,13.75
6,1.072,12.75
7,1.041,11.75
8,1.005,10.75
9,0.988,9.75
10,0.943,8.75
11,0.871,7.75
12,0.808,6.75
13,0.763,5.75
14,0.736,5.0625
15,0.657,4.8125
16,0.617,2.75
17,0.47,1.75
18,0.354,0.75
19,2.221,56.75
20,2.171,55.75
21,2.101,54.75
22,2.05,43.6875
23,2.0,56.125
24,1.97,47.375
25,1.93,50.75
26,1.91,49.75
27,1.89,41.15625
28,1.86,47.75
29,1.84,46.75
30,1.82,45.75
31,1.81,44.75
32,1.78,33.109375
33,1.77,42.75
34,1.75,41.75
35,1.73,31.96875
36,1.71,39.75
37,1.7,38.75
38,1.67,37.75
39,1.087,12.625
40,0.949,10.875
41,0.897,9.875
42,0.839,8.875
43,0.793,7.875
44,0.767,6.875
45,0.757,5.875
46,0.706,5.15625
47,0.646,3.875
48,0.554,2.875
49,0.459,1.875
50,0.361,0.875
51,2.523,46.5
52,2.43,42.6875
53,2.331,41.6875
54,2.26,40.6875
55,2.214,39.6875
56,2.163,38.6875
57,2.134,37.6875
58,2.093,37.625
59,2.071,37.625
60,2.042,34.6875
61,2.011,39.34375
62,1.991,32.6875
63,1.96,35.041666666666664
64,1.938,36.1875
65,1.918,30.3125
66,1.897,28.6875
67,1.868,27.6875
68,1.848,34.125
69,1.826,25.6875
70,1.807,26.65625
71,2.15,39.5
72,2.096,38.5
73,2.049,37.5
74,2.004,36.5
75,1.96,35.041666666666664
76,1.915,34.5
77,1.879,43.416666666666664
78,1.861,32.5
79,1.83,31.5
80,1.812,29.46875
81,1.798,29.5
82,1.78,33.109375
83,1.758,27.5
84,1.731,29.875
85,1.717,25.5
86,1.699,24.5
87,1.677,23.5
88,1.664,22.5
89,1.637,26.21875
90,1.602,24.40625
91,1.502,24.4375
92,1.448,23.4375
93,1.395,22.4375
94,1.348,21.4375
95,1.306,20.4375
96,1.265,19.4375
97,1.243,18.4375
98,1.209,17.4375
99,1.199,16.4375
100,1.168,15.4375
101,1.142,12.21875
102,1.11,13.4375
103,1.085,12.4375
104,1.053,11.4375
105,1.04,10.4375
106,1.009,9.4375
107,0.974,8.4375
108,0.94,7.4375
109,0.889,6.53125
110,0.832,6.9375
111,0.889,6.53125
112,0.795,5.625
113,0.745,4.625
114,0.668,3.625
115,0.546,2.625
116,0.422,1.625
117,0.353,0.625
118,2.852,58.75
119,2.761,57.75
120,2.701,56.75
121,2.663,55.75
122,2.634,54.75
123,2.571,53.53125
124,2.511,52.75
125,2.457,51.75
126,2.404,50.75
127,2.353,49.75
128,2.312,48.75
129,2.29,47.75
130,2.252,45.65625
131,2.229,45.75
132,2.201,42.09375
133,2.182,43.75
134,2.16,40.59375
135,2.141,41.75
136,2.122,40.75
137,2.09,39.75
138,2.648,46.625
139,2.558,45.625
140,2.491,44.625
141,2.429,43.625
142,2.371,42.625
143,2.314,41.625
144,2.287,48.3125
145,2.255,45.21875
146,2.259,38.625
147,2.203,45.8125
148,2.172,43.833333333333336
149,2.184,40.75
150,2.128,34.625
151,2.05,43.6875
152,2.037,32.625
153,1.967,32.28125
154,1.957,30.625
155,1.895,29.625
156,1.777,28.625
157,1.588,27.625
158,3.012,34.875
159,2.872,33.875
160,2.672,32.875
161,2.552,31.875
162,2.485,42.875
163,2.479,33.59375
164,2.311,28.875
165,2.133,27.875
166,2.044,26.875
167,1.931,25.875
168,1.789,27.71875
169,1.711,23.875
170,1.676,22.875
171,1.605,21.875
172,1.565,20.875
173,1.482,19.875
174,1.438,18.875
175,1.388,17.875
176,1.331,16.875
177,1.296,15.875
178,1.901,35.59375
179,1.848,34.125
180,1.803,38.75
181,1.755,37.75
182,1.705,36.75
183,1.66,35.75
184,1.615,34.75
185,1.575,26.4375
186,1.553,32.75
187,1.526,31.75
188,1.508,30.75
189,1.481,29.75
190,1.468,28.75
191,1.441,27.75
192,1.419,26.75
193,1.396,25.75
194,1.383,23.666666666666668
195,1.347,19.46875
196,1.312,19.03125
197,1.276,21.75
198,1.483,26.6875
199,1.444,25.6875
200,1.402,22.0
201,1.383,23.666666666666668
202,1.351,34.59375
203,1.33,18.4375
204,1.308,17.4375
205,1.287,19.6875
206,1.257,18.6875
207,1.228,17.6875
208,1.196,16.21875
209,1.175,15.6875
210,1.143,14.53125
211,1.114,12.4375
212,1.092,12.6875
213,1.083,11.6875
214,1.061,10.6875
215,1.0,12.46875
216,0.93,10.0625
217,0.879,7.6875
218,1.96,35.041666666666664
219,1.899,36.9375
220,1.848,34.125
221,1.809,34.9375
222,1.771,33.9375
223,1.74,32.9375
224,1.708,31.9375
225,1.691,30.9375
226,1.669,29.9375
227,1.64,28.9375
228,1.608,27.9375
229,1.589,26.9375
230,1.569,25.9375
231,1.54,24.9375
232,1.52,23.9375
233,1.498,22.9375
234,1.479,21.9375
235,1.449,20.9375
236,1.43,19.9375
237,1.4,18.9375
238,2.03,27.9375
239,1.932,26.9375
240,1.85,25.9375
241,1.78,33.109375
242,1.701,23.9375
243,1.645,22.9375
244,1.612,21.9375
245,1.575,26.4375
246,1.548,22.375
247,1.512,22.125
248,1.456,17.9375
