,t,NT,motivation,num
0,0.0,0.0,high,0.0
1,0.04,0.0,high,0.0
2,0.08,0.0,high,0.0
3,0.12,0.0,high,0.0
4,0.16,0.0,high,0.0
5,0.2,0.0,high,0.0
6,0.24,0.0,high,0.0
7,0.28,0.0,high,0.0
8,0.32,0.0,high,0.0
9,0.36,0.0,high,0.0
10,0.4,0.0,high,0.0
11,0.44,0.0,high,0.0
12,0.48,0.0,high,0.0
13,0.52,0.0,high,0.0
14,0.56,0.0,high,0.0
15,0.6,0.0,high,0.0
16,0.64,0.0,high,0.0
17,0.68,0.0,high,0.0
18,0.72,0.0,high,0.0
19,0.76,0.0,high,0.0
20,0.8,0.0,high,0.0
21,0.84,0.0,high,0.0
22,0.88,0.0,high,0.0
23,0.92,0.0,high,0.0
24,0.96,0.0,high,0.0
25,1.0,0.0,high,0.0
26,1.04,0.0,high,0.0
27,1.08,0.0,high,0.0
28,1.12,0.0,high,0.0
29,1.16,0.0,high,0.0
30,1.2,1.0,high,0.0
31,1.24,1.0,high,0.0
32,1.28,1.0,high,0.0
33,1.32,1.0,high,0.0
34,1.36,1.0,high,0.0
35,1.4,1.0,high,0.0
36,1.44,1.0,high,0.0
37,1.48,1.0,high,0.0
38,1.52,1.0,high,0.0
39,1.56,2.0,high,0.0
40,1.6,2.0,high,0.0
41,1.64,2.0,high,0.0
42,1.68,2.0,high,0.0
43,1.72,2.0,high,0.0
44,1.76,2.0,high,0.0
45,1.8,3.0,high,0.0
46,1.84,3.0,high,0.0
47,1.88,3.0,high,0.0
48,1.92,3.0,high,0.0
49,1.96,3.0,high,0.0
50,2.0,3.0,high,0.0
51,2.04,3.0,high,0.0
52,2.08,3.0,high,0.0
53,2.12,3.0,high,0.0
54,2.16,3.0,high,0.0
55,2.2,3.0,high,0.0
56,2.24,3.0,high,0.0
57,2.28,3.0,high,0.0
58,2.32,3.0,high,0.0
59,2.36,3.0,high,0.0
60,2.4,3.0,high,0.0
61,2.44,3.0,high,0.0
62,2.48,4.0,high,0.0
63,2.52,4.0,high,0.0
64,2.56,4.0,high,0.0
65,2.6,4.0,high,0.0
66,2.64,4.0,high,0.0
67,2.68,4.0,high,0.0
68,2.72,4.0,high,0.0
69,2.76,4.0,high,0.0
70,2.8,4.0,high,0.0
71,2.84,4.0,high,0.0
72,2.88,4.0,high,0.0
73,2.92,4.0,high,0.0
74,2.96,4.0,high,0.0
75,3.0,4.0,high,0.0
76,3.04,4.0,high,0.0
77,3.08,4.0,high,0.0
78,3.12,4.0,high,0.0
79,3.16,4.0,high,0.0
80,3.2,4.0,high,0.0
81,3.24,4.0,high,0.0
82,3.28,4.0,high,0.0
83,3.32,4.0,high,0.0
84,3.36,4.0,high,0.0
85,3.4,4.0,high,0.0
86,3.44,4.0,high,0.0
87,3.48,4.0,high,0.0
88,3.52,4.0,high,0.0
89,3.56,4.0,high,0.0
90,3.6,4.0,high,0.0
91,3.64,4.0,high,0.0
92,3.68,4.0,high,0.0
93,3.72,4.0,high,0.0
94,3.76,4.0,high,0.0
95,3.8,4.0,high,0.0
96,3.84,5.0,high,0.0
97,3.88,5.0,high,0.0
98,3.92,5.0,high,0.0
99,3.96,5.0,high,0.0
100,4.0,5.0,high,0.0
101,4.04,5.0,high,0.0
