,cum,t
0,0.0,0.0
1,0.0,0.04
2,0.0,0.08
3,0.0,0.12
4,0.0,0.16
5,0.0,0.2
6,0.0,0.24
7,0.0,0.28
8,0.0,0.32
9,0.0,0.36
10,0.0,0.4
11,0.0,0.44
12,0.0,0.48
13,0.0,0.52
14,0.0,0.56
15,0.0,0.6
16,0.0,0.64
17,0.0,0.68
18,0.0,0.72
19,0.0,0.76
20,0.0,0.8
21,0.0,0.84
22,0.0,0.88
23,0.0,0.92
24,0.0,0.96
25,0.0,1.0
26,0.0,1.04
27,0.0,1.08
28,0.0,1.12
29,0.0,1.16
30,0.0,1.2
31,0.0,1.24
32,0.0,1.28
33,0.0,1.32
34,0.0,1.36
35,0.0,1.4
36,0.0,1.44
37,0.0,1.48
38,0.0,1.52
39,0.0,1.56
40,0.0,1.6
41,0.0,1.64
42,0.0,1.68
43,0.0,1.72
44,0.0,1.76
45,1.0,1.8
46,1.0,1.84
47,1.0,1.88
48,1.0,1.92
49,1.0,1.96
50,1.0,2.0
51,1.0,2.04
52,1.0,2.08
53,1.0,2.12
54,1.0,2.16
55,1.0,2.2
56,1.0,2.24
57,1.0,2.28
58,1.0,2.32
59,1.0,2.36
60,1.0,2.4
61,1.0,2.44
62,1.0,2.48
63,1.0,2.52
64,1.0,2.56
65,1.0,2.6
66,1.0,2.64
67,1.0,2.68
68,1.0,2.72
69,1.0,2.76
70,1.0,2.8
71,1.0,2.84
72,1.0,2.88
73,1.0,2.92
74,1.0,2.96
75,1.0,3.0
76,1.0,3.04
77,1.0,3.08
78,1.0,3.12
79,2.0,3.16
80,2.0,3.2
81,2.0,3.24
82,2.0,3.28
83,2.0,3.32
84,2.0,3.36
85,2.0,3.4
86,2.0,3.44
87,2.0,3.48
88,2.0,3.52
89,2.0,3.56
90,2.0,3.6
91,2.0,3.64
92,2.0,3.68
93,2.0,3.72
94,2.0,3.76
95,2.0,3.8
96,2.0,3.84
97,2.0,3.88
98,2.0,3.92
99,2.0,3.96
100,2.0,4.0
101,2.0,4.04
102,2.0,4.08
103,2.0,4.12
104,2.0,4.16
105,2.0,4.2
106,2.0,4.24
107,2.0,4.28
108,3.0,4.32
109,3.0,4.36
110,3.0,4.4
111,3.0,4.44
112,3.0,4.48
113,3.0,4.52
114,3.0,4.56
115,3.0,4.6
116,3.0,4.64
117,3.0,4.68
118,4.0,4.72
119,4.0,4.76
120,4.0,4.8
121,4.0,4.84
122,4.0,4.88
123,4.0,4.92
124,4.0,4.96
125,4.0,5.0
126,4.0,5.04
127,5.0,5.08
128,5.0,5.12
129,5.0,5.16
130,5.0,5.2
131,5.0,5.24
132,5.0,5.28
133,5.0,5.32
134,5.0,5.36
135,5.0,5.4
136,5.0,5.44
137,5.0,5.48
138,5.0,5.52
139,5.0,5.56
140,5.0,5.6
141,5.0,5.64
142,5.0,5.68
143,5.0,5.72
144,5.0,5.76
145,5.0,5.8
146,5.0,5.84
147,5.0,5.88
148,5.0,5.92
149,5.0,5.96
150,5.0,6.0
151,5.0,6.04
152,5.0,6.08
153,5.0,6.12
154,5.0,6.16
155,6.0,6.2
156,6.0,6.24
157,6.0,6.28
158,6.0,6.32
159,6.0,6.36
160,6.0,6.4
161,6.0,6.44
162,6.0,6.48
163,6.0,6.52
164,6.0,6.56
165,6.0,6.6
166,6.0,6.64
167,6.0,6.68
168,6.0,6.72
169,6.0,6.76
170,6.0,6.8
171,6.0,6.84
172,6.0,6.88
173,6.0,6.92
174,6.0,6.96
175,6.0,7.0
176,6.0,7.04
177,6.0,7.08
178,6.0,7.12
179,6.0,7.16
180,6.0,7.2
181,6.0,7.24
182,6.0,7.28
183,6.0,7.32
184,6.0,7.36
185,6.0,7.4
186,7.0,7.44
187,7.0,7.48
188,7.0,7.52
189,7.0,7.56
190,7.0,7.6
191,7.0,7.64
