# PeTrack project: 010_c_12_h0.pet
# raw trajectory file: 010_c_12_h0.trc
# framerate: 25 fps
# z: can be 3d position or height of person (alternating or not)
id frame x/m y/m z/m
1 0 0.443651 0.143554 1.76
1 1 0.4427 0.142708 1.76
1 2 0.4427 0.142708 1.76
1 3 0.4427 0.142708 1.76
1 4 0.44175 0.141863 1.76
1 5 0.4427 0.142708 1.76
1 6 0.4427 0.142708 1.76
1 7 0.4427 0.142708 1.76
1 8 0.4427 0.142708 1.76
1 9 0.44175 0.141863 1.76
1 10 0.44175 0.141863 1.76
1 11 0.44175 0.141863 1.76
1 12 0.442057 0.143224 1.76
1 13 0.44175 0.141863 1.76
1 14 0.434744 0.144123 1.76
1 15 0.439848 0.140172 1.76
1 16 0.431766 0.142779 1.76
1 17 0.436126 0.138494 1.76
1 18 0.432328 0.135116 1.76
1 19 0.427583 0.130896 1.76
1 20 0.428378 0.128342 1.76
1 21 0.423409 0.119038 1.76
1 22 0.414739 0.10808 1.76
1 23 0.400352 0.0904279 1.76
1 24 0.381389 0.0659035 1.76
1 25 0.352366 0.0462019 1.76
1 26 0.326628 0.0248832 1.76
1 27 0.297897 0.00383214 1.76
1 28 0.263968 -0.0108809 1.76
1 29 0.208361 -0.0351209 1.76
1 30 0.15666 -0.0513918 1.76
1 31 0.113483 -0.0731376 1.76
1 32 0.0697208 -0.0919544 1.76
1 33 0.024557 -0.115797 1.76
1 34 -0.0135718 -0.147531 1.76
1 35 -0.0485313 -0.177939 1.76
1 36 -0.0734305 -0.211779 1.76
1 37 -0.0910044 -0.257739 1.76
1 38 -0.0989613 -0.306808 1.76
1 39 -0.101271 -0.354836 1.76
1 40 -0.0882774 -0.412355 1.76
1 41 -0.0712069 -0.469847 1.76
1 42 -0.0630039 -0.528959 1.76
1 43 -0.0545195 -0.585057 1.76
1 44 -0.0487675 -0.640703 1.76
1 45 -0.0434633 -0.701199 1.76
1 46 -0.0411217 -0.762062 1.76
1 47 -0.0215355 -0.826815 1.76
1 48 -0.00925934 -0.892343 1.76
1 49 0.00410551 -0.975649 1.76
1 50 0.014704 -1.03348 1.76
1 51 0.0221012 -1.12567 1.76
1 52 0.0256084 -1.18505 1.76
1 53 0.0356498 -1.25909 1.76
1 54 0.052082 -1.3428 1.76
1 55 0.0671198 -1.41021 1.76
1 56 0.0868377 -1.49858 1.76
1 57 0.104767 -1.5914 1.76
1 58 0.121756 -1.6826 1.76
2 0 0.405483 0.869395 1.76
2 1 0.401665 0.871939 1.76
2 2 0.405565 0.867462 1.76
2 3 0.405565 0.867462 1.76
2 4 0.404727 0.865922 1.76
2 5 0.404507 0.866349 1.76
2 6 0.406327 0.867069 1.76
2 7 0.404153 0.86129 1.76
2 8 0.40819 0.865122 1.76
2 9 0.401203 0.860347 1.76
2 10 0.407878 0.8574 1.76
2 11 0.405365 0.852791 1.76
2 12 0.400817 0.853674 1.76
2 13 0.399811 0.849749 1.76
2 14 0.393139 0.852693 1.76
2 15 0.387761 0.849072 1.76
