category,mean,p975,p025
0,7.14071591448831,7.478063331363617,6.849462440413748
1,7.19684110675823,7.487502650909325,6.847139044869077
2,7.223645724467792,7.524836799387538,6.923186829908555
3,7.279851322600223,7.504904415447738,7.086559166914184
4,7.265746154079242,7.475324769228631,7.008868271266786
5,7.14071591448831,7.478063331363617,6.849462440413748
6,7.19684110675823,7.487502650909325,6.847139044869077
7,7.223645724467792,7.524836799387538,6.923186829908555
8,7.279851322600223,7.504904415447738,7.086559166914184
9,7.265746154079242,7.475324769228631,7.008868271266786
10,7.14071591448831,7.478063331363617,6.849462440413748
11,7.19684110675823,7.487502650909325,6.847139044869077
12,7.223645724467792,7.524836799387538,6.923186829908555
13,7.279851322600223,7.504904415447738,7.086559166914184
14,7.265746154079242,7.475324769228631,7.008868271266786
